action,proto,src_ip,src_port,dest_ip,dest_port,family,behavior,description,sign_source,author,threat_judge,attack_phase,apt_org,extract_date,attack_direction,remarks,cve_number,threat_level,threat_type,id,refer,payload,classtype,sid,rev,metadata
alert,smb,$HOME_NET,any,any,any,,['VulnerabilityIntrusion'],ET EXPLOIT ETERNALBLUE Probe Vulnerable System Response CVE-2017-0146,ArtificialExtraction,suricata,Threat,Invasion,,20180711,{'Source': 'Victim'; 'Obj': 'Attacker'},,CVE-2017-0146,HighRisk,['Exploits'],102025650,[],flow:from_server;established; content:"|ff|SMB|25 05 02 00 c0 98 01|"; offset:4; depth:11; content:"|00 00 00 00 00 00 00 00 00 00|"; distance:3; within:10; content:"|00 00 00|"; distance:8; within:3; isdataat:!1;relative; threshold: type limit; track by_src; count 1; seconds 30;),classtype:Exploits;,id:102025650;,rev:2;,metadata: former_category EXPLOIT;metadata:affected_product Windows_XP_Vista_7_8_10_Server_32_64_Bit; attack_target Client_Endpoint; deployment Internal; tag Metasploit; tag ETERNALBLUE; signature_severity Major; created_at 2018_07_11; updated_at 2018_08_15;
alert,tcp,$HOME_NET,any,any,1433,,['PortScan'],ET SCAN Behavioral Unusual Port 1433 traffic Potential Scan or Infection,ArtificialExtraction,suricata,Threat,Prepare,,20170511,{'Source': 'Attacker'; 'Obj': 'Victim'},,CVE-2017-0146,IntermediateRisk,['Scan'],102001583,[],flow:to_server; flags: S;12; threshold: type both; track by_src; count 40 ; seconds 60;),classtype:Scan;,id:102001583;,rev:16;,metadata: former_category SCAN;metadata:created_at 2010_07_30; updated_at 2017_05_11;
#,drive,None,None,None,the,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
#,445,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
#,drive,None,None,None,the,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
#alert,dns,None,None,dns,any,Unknown,['AccessC2'],,Unknown,dengcong,Threat,,,20190604,{'Source': 'Victim'; 'Obj': 'Unknown'},,,IntermediateRisk,['Worm'],220019295,['52a3ea5c23e41dd3ae83f0d8d0ab450c'],None,classtype:Worm;,id:220019295;,rev:1;,
alert,smb,any,any,$HOME_NET,any,,['VulnerabilityIntrusion'],ET EXPLOIT Possible ETERNALBLUE Probe CVE-2017-0146 (MSF style),ArtificialExtraction,suricata,Threat,Invasion,,20180711,{'Source': 'Attacker'; 'Obj': 'Victim'},,CVE-2017-0146,HighRisk,['Exploits'],102025649,[],flow:to_server;established; content:"|ff|SMB|25 00 00 00 00 18 01 28|"; offset:4; depth:12; content:"|00 00 00 00 00 00 00 00 00 00|"; distance:2; within:10; content:"|23 00 00 00 07 00 5c 50 49 50 45 5c 00|"; fast_pattern; isdataat:!1;relative; threshold: type limit; track by_src; count 1; seconds 30;),classtype:Exploits;,id:102025649;,rev:2;,metadata: former_category EXPLOIT;metadata:affected_product Windows_XP_Vista_7_8_10_Server_32_64_Bit; attack_target Client_Endpoint; deployment Internal; tag Metasploit; tag ETERNALBLUE; signature_severity Major; created_at 2018_07_11; updated_at 2018_08_15;
#,WAGO,None,None,None,Cross,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
alert,smb,any,any,$HOME_NET,any,,['VulnerabilityIntrusion'],ET EXPLOIT Possible ETERNALBLUE CVE-2017-0146 Heap Spray,ArtificialExtraction,suricata,Threat,Invasion,,20170417,{'Source': 'Attacker'; 'Obj': 'Victim'},,CVE-2017-0146,HighRisk,['Exploits'],102024217,[],flow:to_server;established; content:"|ff|SMB|33 00 00 00 00 18 07 c0 00 00 00 00 00 00 00 00 00 00 00 00 00 08 ff fe 00 08|"; offset:4; depth:30; fast_pattern:10;20; content:"|00 09 00 00 00 10|"; distance:1; within:6; content:"|00 00 00 00 00 00 00 10|"; within:8; content:"|00 00 00 10|"; distance:4; within:4; pcre:"/^[a-zA-Z0-9+/]{1000;}/R"; threshold: type both; track by_src; count 3; seconds 30;),classtype:Exploits;,id:102024217;,rev:3;,metadata: former_category EXPLOIT;metadata:attack_target SMB_Server; deployment Internal; signature_severity Critical; created_at 2017_04_17; updated_at 2017_05_13;
alert,tcp,any,1433,any,any,,['PortScan'],GPL SQL sa brute force failed login unicode attempt,ArtificialExtraction,suricata,Threat,Prepare,,20100923,{'Source': 'Victim'; 'Obj': 'Attacker'},,,IntermediateRisk,['Scan'],102103273,[],flow:from_server;established; content:"L|00|o|00|g|00|i|00|n|00| |00|f|00|a|00|i|00|l|00|e|00|d|00| |00|f|00|o|00|r|00| |00|u|00|s|00|e|00|r|00| |00|'|00|s|00|a|00|'|00|"; threshold:type threshold; track by_src; count 5; seconds 2; reference:bugtraq;4797; reference:cve;2000-1209; reference:nessus;10673; classtype:Scan; sid:102103273; rev:4;),classtype:Scan;,id:102103273;,rev:4;,metadata:created_at 2010_09_23; updated_at 2010_09_23;
#alert,dns,None,None,dns,any,Unknown,['AccessC2'],,Unknown,dengcong,Threat,,,20190604,{'Source': 'Victim'; 'Obj': 'Unknown'},,,IntermediateRisk,['Worm'],220019297,['52a3ea5c23e41dd3ae83f0d8d0ab450c'],None,classtype:Worm;,id:220019297;,rev:1;,
#,1433,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
alert,smb,any,any,$HOME_NET,any,,['VulnerabilityIntrusion'],ET EXPLOIT Possible ETERNALBLUE Probe CVE-2017-0146 (Generic Flags),ArtificialExtraction,suricata,Threat,Invasion,,20180815,{'Source': 'Attacker'; 'Obj': 'Victim'},,CVE-2017-0146,HighRisk,['Exploits'],102025992,[],flow:to_server;established; content:"|ff|SMB|25 00 00 00 00|"; offset:4; depth:9; content:"|00 00 00 00 00 00 00 00 00 00|"; distance:5; within:10; content:"|23 00 00 00 07 00 5c 50 49 50 45 5c 00|"; fast_pattern; isdataat:!1;relative; threshold: type limit; track by_src; count 1; seconds 30;),classtype:Exploits;,id:102025992;,rev:1;,metadata: former_category EXPLOIT;metadata:affected_product Windows_XP_Vista_7_8_10_Server_32_64_Bit; attack_target Client_Endpoint; deployment Perimeter; signature_severity Major; created_at 2018_08_15; malware_family ETERNALBLUE; updated_at 2018_08_15;
